Date;Mois;Contrepartie;Montant (€);Source;Type;Catégorie;Matched mot_clé;Matched type_condition
2023-04-21 00:00:00;2023-04;Homer Vh        2081472;-48.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-04-21 05:21:22;2023-04;ALTAROC GLOBAL 2022 FPCI - COLLECTE;-10000.0;Qonto;;PE;ALTAROC GLOBAL 2022 FPCI - COLLECTE;
2023-04-24 10:12:21;2023-04;SCPI EPARGNE PIERRE;1906.08;Qonto;;SCPI;EPARGNE PIERRE;
2023-04-25 10:43:47;2023-04;SCPI IMMORENTE;1375.92;Qonto;;SCPI;IMMORENTE;
2023-04-25 10:54:04;2023-04;EFIMMO 1;675.2;Qonto;;SCPI;EFIMMO;
2023-04-26 10:42:49;2023-04;ETHIFINANCE SAS;1200.0;Qonto;;Conseil;ETHIFINANCE SAS;
2023-04-28 14:37:26;2023-04;SCI   PRIMOPIERRE;1573.15;Qonto;;SCPI;PRIMOPIERRE;
2023-04-28 15:00:37;2023-04;M BIBOUM NYEMB ITIBI JOSEPH;1200.0;Qonto;;Conseil;M BIBOUM NYEMB ITIBI JOSEPH;
2023-05-01 03:05:28;2023-05;Qonto;-10.8;Qonto;;FdS;Qonto;
2023-05-04 14:25:58;2023-05;LES SHERPAS;7200.0;Qonto;;Conseil;LES SHERPAS;
2023-05-09 13:58:11;2023-05;SAS BVI.EU FINANCE  FP;166.6;Qonto;;Crowdfunding;SAS BVI.EU FINANCE  FP;
2023-05-09 15:29:55;2023-05;SAS SGM PERSEPHONE FP;216.6;Qonto;;Crowdfunding;SAS SGM PERSEPHONE FP;
2023-05-09 15:30:03;2023-05;SAS INFINI CAPITAL;249.9;Qonto;;Crowdfunding;SAS INFINI CAPITAL;
2023-05-11 09:51:16;2023-05;CORUM EURION;344.38;Qonto;;SCPI;CORUM EURION;
2023-05-11 09:55:55;2023-05;SAS GDG HOLDCO FRAGONARD FP;166.6;Qonto;;Crowdfunding;SAS GDG HOLDCO FRAGONARD FP;
2023-05-12 00:00:00;2023-05;Ouistiti Fmcn   4098699;-180.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-05-12 14:10:22;2023-05;Julia Hanon;-400.0;Qonto;;FdS;Julia Hanon;
2023-05-15 10:11:15;2023-05;SAS INFINI CAPITAL;275.4;Qonto;;Crowdfunding;SAS INFINI CAPITAL;
2023-05-16 12:42:48;2023-05;Samia MEKHANEG;-1200.0;Qonto;;FdS;Samia MEKHANEG;
2023-05-17 00:00:00;2023-05;Kim S;-100.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-05-17 10:16:13;2023-05;SCI   PRIMOPIERRE;43.01;Qonto;;SCPI;PRIMOPIERRE;
2023-05-25 00:00:00;2023-05;Daikichi        2471049;-15.8;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-05-25 09:47:39;2023-05;SAS INFINI CAPITAL;887.7;Qonto;;Crowdfunding;SAS INFINI CAPITAL;
2023-05-27 00:00:00;2023-05;Ets Nicolas   * 4361582;-203.2;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-06-01 03:05:29;2023-06;Qonto;-10.8;Qonto;;FdS;Qonto;
2023-06-01 11:58:48;2023-06;M BIBOUM NYEMB ITIBI JOSEPH;1200.0;Qonto;;Conseil;M BIBOUM NYEMB ITIBI JOSEPH;
2023-06-02 00:00:00;2023-06;G7;-17.7;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-06-02 00:00:00;2023-06;G7;-7.3;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-06-02 00:00:00;2023-06;Sncf Internet;-58.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-06-02 15:31:13;2023-06;LES SHERPAS;2400.0;Qonto;;Conseil;LES SHERPAS;
2023-06-07 10:04:36;2023-06;SAS SGM PERSEPHONE FP;166.6;Qonto;;Crowdfunding;SAS SGM PERSEPHONE FP;
2023-06-07 10:56:11;2023-06;SAS GDG HOLDCO FRAGONARD FP;166.6;Qonto;;Crowdfunding;SAS GDG HOLDCO FRAGONARD FP;
2023-06-07 10:58:47;2023-06;SAS BVI.EU FINANCE  FP;166.6;Qonto;;Crowdfunding;SAS BVI.EU FINANCE  FP;
2023-06-07 10:59:01;2023-06;SAS INFINI CAPITAL;252.3;Qonto;;Crowdfunding;SAS INFINI CAPITAL;
2023-06-07 11:19:14;2023-06;SAS CASALINA  FP;430.8;Qonto;;Crowdfunding;SAS CASALINA  FP;
2023-06-09 00:00:00;2023-06;G7;-22.6;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-06-13 00:00:00;2023-06;Ristorante Dino;-81.5;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-06-13 11:10:46;2023-06;CORUM EURION;831.33;Qonto;;SCPI;CORUM EURION;
2023-06-14 00:00:00;2023-06;Remboursement par Trainline Euro;31.2;Revolut;CARD_REFUND;FdS;;CARD_REFUND
2023-06-17 00:00:00;2023-06;Sarl Cade;-48.5;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-06-17 00:00:00;2023-06;La Table Du Golf;-19.5;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-06-23 07:39:34;2023-06;notaire METADEFI;-9988.76;Qonto;;VC;notaire METADEFI;
2023-06-23 10:01:06;2023-06;ETHIFINANCE SAS;4800.0;Qonto;;Conseil;ETHIFINANCE SAS;
2023-07-01 00:00:00;2023-07;Gr Epicerie 16  4704771;-5.5;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-07-01 03:05:19;2023-07;Qonto;-13.2;Qonto;;FdS;Qonto;
2023-07-03 15:31:36;2023-07;LES SHERPAS;2400.0;Qonto;;Conseil;LES SHERPAS;
2023-07-06 10:15:57;2023-07;Mangopay;28684.55;Qonto;;Crowdfunding;Mangopay;
2023-07-07 10:02:50;2023-07;SAS INFINI CAPITAL;240.3;Qonto;;Crowdfunding;SAS INFINI CAPITAL;
2023-07-07 10:07:51;2023-07;SAS GDG HOLDCO FRAGONARD FP;166.6;Qonto;;Crowdfunding;SAS GDG HOLDCO FRAGONARD FP;
2023-07-07 10:07:56;2023-07;SAS SGM PERSEPHONE FP;166.6;Qonto;;Crowdfunding;SAS SGM PERSEPHONE FP;
